Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Klionsky, D.J., Abdalla, F.C., Abeliovich, H., Abraham, R.T., Acevedo-Arozena, A., Adeli, K., Agholme, L., Agnello, M., Agostinis, P., Aguirre-Ghiso, J.A., Ahn, H.J., Ait-Mohamed, O., Ait-Si-Ali, S., Akematsu, T., Akira, S., Al-Younes, H.M., Al-Zeer, M.A., Albert, M.L., Albin, R.L., Alegre-Abarrategui, J., Aleo, M.F., Alirezaei, M., Almasan, A., Almonte-Becerril, M., Amano, A., Amaravadi, R., Amarnath, S., Amer, A.O., Andrieu-Abadie, N., Anantharam, V., Ann, D.K., Anoopkumar-Dukie, S., Aoki, H., Apostolova, N., Arancia, G., Aris, J.P., Asanuma, K., Asare, N.Y.O., Ashida, H., Askanas, V., Askew, D.S., Auberger, P., Baba, M., Backues, S.K., Baehrecke, E.H., Bahr, B.A., Bai, X.-Y., Bailly, Y., Baiocchi, R., Baldini, G., Balduini, W., Ballabio, A., Bamber, B.A., Bampton, E.T.W., Bánhegyi, G., Bartholomew, C.R., Bassham, D.C., Bast Jr., R.C., Batoko, H., Bay, B.-H., Beau, I., Béchet, D.M., Begley, T.J., Behl, C., Behrends, C., Bekri, S., Bellaire, B., Bendall, L.J., Benetti, L., Berliocchi, L., Bernardi, H., Bernassola, F., Besteiro, S., Bhatia-Kissova, I., Bi, X., Biard-Piechaczyk, M., Blum, J.S., Boise, L.H., Bonaldo, P., Boone, D.L., Bornhauser, B.C., Bortoluci, K.R., Bossis, I., Bost, F., Bourquin, J.-P., Boya, P., Boyer-Guittaut, M., Bozhkov, P.V., Brady, N.R., Brancolini, C., Brech, A., Brenman, J.E., Brennand, A., Bresnick, E.H., Brest, P., Bridges, D., Bristol, M.L., Brookes, P.S., Brown, E.J., Brumell, J.H., Brunetti-Pierri, N., Brunk, U.T., Bulman, D.E., Bultman, S.J., Bultynck, G., Burbulla, L.F., Bursch, W., Butchar, J.P., Buzgariu, W., Bydlowski, S.P., Cadwell, K., Cahová, M., Cai, D., Cai, J., Cai, Q., Calabretta, B., Calvo-Garrido, J., Camougrand, N., Campanella, M., Campos-Salinas, J., Candi, E., Cao, L., Caplan, A.B., Carding, S.R., Cardoso, S.M., Carew, J.S., Carlin, C.R., Carmignac, V., Carneiro, L.A.M., Carra, S., Caruso, R.A., Casari, G., Casas, C., Castino, R., Cebollero, E., Cecconi, F., Celli, J., Chaachouay, H., Chae, H.-J., Chai, C.-Y., Chan, D.C., Chan, E.Y., Chang, R.C.-C., Che, C.-M., Chen, C.-C., Chen, G.-C., Chen, G.-Q., Chen, M., Chen, Q., Chen, S.S.-L., Chen, W., Chen, X., Chen, X., Chen, X., Chen, Y.-G., Chen, Y., Chen, Y., Chen, Y.-J., Chen, Z., Cheng, A., Cheng, C.H.K., Cheng, Y., Cheong, H., Cheong, J.-H., Cherry, S., Chess-Williams, R., Cheung, Z.H., Chevet, E., Chiang, H.-L., Chiarelli, R., Chiba, T., Chin, L.-S., Chiou, S.-H., Chisari, F.V., Cho, C.H., Cho, D.-H., Choi, A.M.K., Choi, D., Choi, K.S., Choi, M.E., Chouaib, S., Choubey, D., Choubey, V., Chu, C.T., Chuang, T.-H., Chueh, S.-H., Chun, T., Chwae, Y.-J., Chye, M.-L., Ciarcia, R., Ciriolo, M.R., Clague, M.J., Clark, R.S.B., Clarke, P.G.H., Clarke, R., Codogno, P., Coller, H.A., Colombo, M.I., Comincini, S., Condello, M., Condorelli, F., Cookson, M.R., Coombs, G.H., Coppens, I., Corbalan, R., Cossart, P., Costelli, P., Costes, S., Coto-Montes, A., Couve, E., Coxon, F.P., Cregg, J.M., Crespo, J.L., Cronjé, M.J., Cuervo, A.M., Cullen, J.J., Czaja, M.J., D'Amelio, M., Darfeuille-Michaud, A., Davids, L.M., Davies, F.E., De Felici, M., De Groot, J.F., De Haan, C.A.M., De Martino, L., De Milito, A., De Tata, V., Debnath, J., Degterev, A., Dehay, B., Delbridge, L.M.D., Demarchi, F., Deng, Y.Z., Dengjel, J., Dent, P., Denton, D., Deretic, V., Desai, S.D., Devenish, R.J., Di Gioacchino, M., Di Paolo, G., Di Pietro, C., Díaz-Araya, G., Díaz-Laviada, I., Diaz-Meco, M.T., Diaz-Nido, J., Dikic, I., Dinesh-Kumar, S.P., Ding, W.-X., Distelhorst, C.W., Diwan, A., Djavaheri-Mergny, M., Dokudovskaya, S., Dong, Z., Dorsey, F.C., Dosenko, V., Dowling, J.J., Doxsey, S., Dreux, M., Drew, M.E., Duan, Q., Duchosal, M.A., Duff, K., Dugail, I., Durbeej, M., Duszenko, M., Edelstein, C.L., Edinger, A.L., Egea, G., Eichinger, L., Eissa, N.T., Ekmekcioglu, S., El-Deiry, W.S., Elazar, Z., Elgendy, M., Ellerby, L.M., Er Eng, K., Engelbrecht, A.-M., Engelender, S., Erenpreisa, J., Escalante, R., Esclatine, A., Eskelinen, E.-L., Espert, L., Espina, V., Fan, H., Fan, J., Fan, Q.-W., Fan, Z., Fang, S., Fang, Y., Fanto, M., Fanzani, A., Farkas, T., Farré, J.-C., Faure, M., Fechheimer, M., Feng, C.G., Feng, J., Feng, Q., Feng, Y., Fésüs, L., Feuer, R., Figueiredo-Pereira, M.E., Fimia, G.M., Fingar, D.C., Finkbeiner, S., Finkel, T., Finley, K.D., Fiorito, F., Fisher, E.A., Fisher, P.B., Flajolet, M., Florez-McClure, M.L., Florio, S., Fon, E.A., Fornai, F., Fortunato, F., Fotedar, R., Fowler, D.H., Fox, H.S., Franco, R., Frankel, L.B., Fransen, M., Fuentes, J.M., Fueyo, J., Fujii, J., Fujisaki, K., Fujita, E., Fukuda, M., Furukawa, R.H., Gaestel, M., Gailly, P., Gajewska, M., Galliot, B., Galy, V., Ganesh, S., Ganetzky, B., Ganley, I.G., Gao, F.-B., Gao, G.F., Gao, J., Garcia, L., Garcia-Manero, G., Garcia-Marcos, M., Garmyn, M., Gartel, A.L., Gatti, E., Gautel, M., Gawriluk, T.R., Gegg, M.E., Geng, J., Germain, M., Gestwicki, J.E., Gewirtz, D.A., Ghavami, S., Ghosh, P., Giammarioli, A.M., Giatromanolaki, A.N., Gibson, S.B., Gilkerson, R.W., Ginger, M.L., Ginsberg, H.N., Golab, J., Goligorsky, M.S., Golstein, P., Gomez-Manzano, C., Goncu, E., Gongora, C., Gonzalez, C.D., Gonzalez, R., González-Estévez, C., González-Polo, R.A., Gonzalez-Rey, E., Gorbunov, N.V., Gorski, S., Goruppi, S., Gottlieb, R.A., Gozuacik, D., Granato, G.E., Grant, G.D., Green, K.N., Gregorc, A., Gros, F., Grose, C., Grunt, T.W., Gual, P., Guan, J.-L., Guan, K.-L., Guichard, S.M., Gukovskaya, A.S., Gukovsky, I., Gunst, J., Gustafsson, A.B., Halayko, A.J., Hale, A.N., Halonen, S.K., Hamasaki, M., Han, F., Han, T., Hancock, M.K., Hansen, M., Harada, H., Harada, M., Hardt, S.E., Harper, J.W., Harris, A.L., Harris, J., Harris, S.D., Hashimoto, M., Haspel, J.A., Hayashi, S.-I., Hazelhurst, L.A., He, C., He, Y.-W., Hébert, M.-J., Heidenreich, K.A., Helfrich, M.H., Helgason, G.V., Henske, E.P., Herman, B., Herman, P.K., Hetz, C., Hilfiker, S., Hill, J.A., Hocking, L.J., Hofman, P., Hofmann, T.G., Höhfeld, J., Holyoake, T.L., Hong, M.-H., Hood, D.A., Hotamisligil, G.S., Houwerzijl, E.J., Høyer-Hansen, M., Hu, B., Hu, C.-A.A., Hu, H.-M., Hua, Y., Huang, C., Huang, J., Huang, S., Huang, W.-P., Huber, T.B., Huh, W.-K., Hung, T.-H., Hupp, T.R., Hur, G.M., Hurley, J.B., Hussain, S.N.A., Hussey, P.J., Hwang, J.J., Hwang, S., Ichihara, A., Ilkhanizadeh, S., Inoki, K., Into, T., Iovane, V., Iovanna, J.L., Ip, N.Y., Isaka, Y., Ishida, H., Isidoro, C., Isobe, K.-I., Iwasaki, A., Izquierdo, M., Izumi, Y., Jaakkola, P.M., Jäättelä, M., Jackson, G.R., Jackson, W.T., Janji, B., Jendrach, M., Jeon, J.-H., Jeung, E.-B., Jiang, H., Jiang, H., Jiang, J.X., Jiang, M., Jiang, Q., Jiang, X., Jiménez, A., Jin, M., Jin, S., Joe, C.O., Johansen, T., Johnson, D.E., Johnson, G.V.W., Jones, N.L., Joseph, B., Joseph, S.K., Joubert, A.M., Juhász, G., Juillerat-Jeanneret, L., Jung, C.H., Jung, Y.-K., Kaarniranta, K., Kaasik, A., Kabuta, T., Kadowaki, M., Kagedal, K., Kamada, Y., Kaminskyy, V.O., Kampinga, H.H., Kanamori, H., Kang, C., Kang, K.B., Il Kang, K., Kang, R., Kang, Y.-A., Kanki, T., Kanneganti, T.-D., Kanno, H., Kanthasamy, A.G., Kanthasamy, A., Karantza, V., Kaushal, G.P., Kaushik, S., Kawazoe, Y., Ke, P.-Y., Kehrl, J.H., Kelekar, A., Kerkhoff, C., Kessel, D.H., Khalil, H., Kiel, J.A.K.W., Kiger, A.A., Kihara, A., Kim, D.R., Kim, D.-H., Kim, D.-H., Kim, E.-K., Kim, H.-R., Kim, J.-S., Kim, J.H., Kim, J.C., Kim, J.K., Kim, P.K., Kim, S.W., Kim, Y.-S., Kim, Y., Kimchi, A., Kimmelman, A.C., King, J.S., Kinsella, T.J., Kirkin, V., Kirshenbaum, L.A., Kitamoto, K., Kitazato, K., Klein, L., Klimecki, W.T., Klucken, J., Knecht, E., Ko, B.C.B., Koch, J.C., Koga, H., Koh, J.-Y., Koh, Y.H., Koike, M., Komatsu, M., Kominami, E., Kong, H.J., Kong, W.-J., Korolchuk, V.I., Kotake, Y., Koukourakis, M.I., Kouri Flores, J.B., Kovács, A.L., Kraft, C., Krainc, D., Krämer, H., Kretz-Remy, C., Krichevsky, A.M., Kroemer, G., Krüger, R., Krut, O., Ktistakis, N.T., Kuan, C.-Y., Kucharczyk, R., Kumar, A., Kumar, R., Kumar, S., Kundu, M., Kung, H.-J., Kurz, T., Kwon, H.J., La Spada, A.R., Lafont, F., Lamark, T., Landry, J., Lane, J.D., Lapaquette, P., Laporte, J.F., László, L., Lavandero, S., Lavoie, J.N., Layfield, R., Lazo, P.A., Le, W., Le Cam, L., Ledbetter, D.J., Lee, A.J.X., Lee, B.-W., Lee, G.M., Lee, J., Lee, J.-H., Lee, M., Lee, M.-S., Lee, S.H., Leeuwenburgh, C., Legembre, P., Legouis, R., Lehmann, M., Lei, H.-Y., Lei, Q.-Y., Leib, D.A., Leiro, J., Lemasters, J.J., Lemoine, A., Lesniak, M.S., Lev, D., Levenson, V.V., Levine, B., Levy, E., Li, F., Li, J.-L., Li, L., Li, S., Li, W., Li, X.-J., Li, Y.-B., Li, Y.-P., Liang, C., Liang, Q., Liao, Y.-F., Liberski, P.P., Lieberman, A., Lim, H.J., Lim, K.-L., Lim, K., Lin, C.-F., Lin, F.-C., Lin, J., Lin, J.D., Lin, K., Lin, W.-W., Lin, W.-C., Lin, Y.-L., Linden, R., Lingor, P., Lippincott-Schwartz, J., Lisanti, M.P., Liton, P.B., Liu, B., Liu, C.-F., Liu, K., Liu, L., Liu, Q.A., Liu, W., Liu, Y.-C., Liu, Y., Lockshin, R.A., Lok, C.-N., Lonial, S., Loos, B., Lopez-Berestein, G., López-Otín, C., Lossi, L., Lotze, M.T., Lõw, P., Lu, B., Lu, B., Lu, B., Lu, Z., Luciano, F., Lukacs, N.W., Lund, A.H., Lynch-Day, M.A., Ma, Y., Macian, F., MacKeigan, J.P., Macleod, K.F., Madeo, F., Maiuri, L., Maiuri, M.C., Malagoli, D., Malicdan, M.C.V., Malorni, W., Man, N., Mandelkow, E.-M., Manon, S., Manov, I., Mao, K., Mao, X., Mao, Z., Marambaud, P., Marazziti, D., Marcel, Y.L., Marchbank, K., Marchetti, P., Marciniak, S.J., Marcondes, M., Mardi, M., Marfe, G., Mariño, G., Markaki, M., Marten, M.R., Martin, S.J., Martinand-Mari, C., Martinet, W., Martinez-Vicente, M., Masini, M., Matarrese, P., Matsuo, S., Matteoni, R., Mayer, A., Mazure, N.M., McConkey, D.J., McConnell, M.J., McDermott, C., McDonald, C., McInerney, G.M., McKenna, S.L., McLaughlin, B., McLean, P.J., McMaster, C.R., McQuibban, G.A., Meijer, A.J., Meisler, M.H., Meléndez, A., Melia, T.J., Melino, G., Mena, M.A., Menendez, J.A., Menna-Barreto, R.F.S., Menon, M.B., Menzies, F.M., Mercer, C.A., Merighi, A., Merry, D.E., Meschini, S., Meyer, C.G., Meyer, T.F., Miao, C.-Y., Miao, J.-Y., Michels, P.A.M., Michiels, C., Mijaljica, D., Milojkovic, A., Minucci, S., Miracco, C., Miranti, C.K., Mitroulis, I., Miyazawa, K., Mizushima, N., Mograbi, B., Mohseni, S., Molero, X., Mollereau, B., Mollinedo, F., Momoi, T., Monastyrska, I., Monick, M.M., Monteiro, M.J., Moore, M.N., Mora, R., Moreau, K., Moreira, P.I., Moriyasu, Y., Moscat, J., Mostowy, S., Mottram, J.C., Motyl, T., Moussa, C.E.-H., Müller, S., Muller, S., Münger, K., Münz, C., Murphy, L.O., Murphy, M.E., Musarò, A., Mysorekar, I., Nagata, E., Nagata, K., Nahimana, A., Nair, U., Nakagawa, T., Nakahira, K., Nakano, H., Nakatogawa, H., Nanjundan, M., Naqvi, N.I., Narendra, D.P., Narita, M., Navarro, M., Nawrocki, S.T., Nazarko, T.Y., Nemchenko, A., Netea, M.G., Neufeld, T.P., Ney, P.A., Nezis, I.P., Nguyen, H.P., Nie, D., Nishino, I., Nislow, C., Nixon, R.A., Noda, T., Noegel, A.A., Nogalska, A., Noguchi, S., Notterpek, L., Novak, I., Nozaki, T., Nukina, N., Nürnberger, T., Nyfeler, B., Obara, K., Oberley, T.D., Oddo, S., Ogawa, M., Ohashi, T., Okamoto, K., Oleinick, N.L., Oliver, F.J., Olsen, L.J., Olsson, S., Opota, O., Osborne, T.F., Ostrander, G.K., Otsu, K., Ou, J.-H.J., Ouimet, M., Overholtzer, M., Ozpolat, B., Paganetti, P., Pagnini, U., Pallet, N., Palmer, G.E., Palumbo, C., Pan, T., Panaretakis, T., Pandey, U.B., Papackova, Z., Papassideri, I., Paris, I., Park, J., Park, O.K., Parys, J.B., Parzych, K.R., Patschan, S., Patterson, C., Pattingre, S., Pawelek, J.M., Peng, J., Perlmutter, D.H., Perrotta, I., Perry, G., Pervaiz, S., Peter, M., Peters, G.J., Petersen, M., Petrovski, G., Phang, J.M., Piacentini, M., Pierre, P., Pierrefite-Carle, V., Pierron, G., Pinkas-Kramarski, R., Piras, A., Piri, N., Platanias, L.C., Pöggeler, S., Poirot, M., Poletti, A., Poüs, C., Pozuelo-Rubio, M., Prætorius-Ibba, M., Prasad, A., Prescott, M., Priault, M., Produit-Zengaffinen, N., Progulske-Fox, A., Proikas-Cezanne, T., Przedborski, S., Przyklenk, K., Puertollano, R., Puyal, J., Qian, S.-B., Qin, L., Qin, Z.-H., Quaggin, S.E., Raben, N., Rabinowich, H., Rabkin, S.W., Rahman, I., Rami, A., Ramm, G., Randall, G., Randow, F., Rao, V.A., Rathmell, J.C., Ravikumar, B., Ray, S.K., Reed, B.H., Reed, J.C., Reggiori, F., Régnier-Vigouroux, A., Reichert, A.S., Reiners Jr., J.J., Reiter, R.J., Ren, J., Revuelta, J.L., Rhodes, C.J., Ritis, K., Rizzo, E., Robbins, J., Roberge, M., Roca, H., Roccheri, M.C., Rocchi, S., Rodemann, H.P., De Córdoba, S.R., Rohrer, B., Roninson, I.B., Rosen, K., Rost-Roszkowska, M.M., Rouis, M., Rouschop, K.M.A., Rovetta, F., Rubin, B.P., Rubinsztein, D.C., Ruckdeschel, K., Rucker III, E.B., Rudich, A., Rudolf, E., Ruiz-Opazo, N., Russo, R., Rusten, T.E., Ryan, K.M., Ryter, S.W., Sabatini, D.M., Sadoshima, J., Saha, T., Saitoh, T., Sakagami, H., Sakai, Y., Salekdeh, G.H., Salomoni, P., Salvaterra, P.M., Salvesen, G., Salvioli, R., Sanchez, A.M.J., Sánchez-Alcázar, J.A., Sánchez-Prieto, R., Sandri, M., Sankar, U., Sansanwal, P., Santambrogio, L., Saran, S., Sarkar, S., Sarwal, M., Sasakawa, C., Sasnauskiene, A., Sass, M., Sato, K., Sato, M., Schapira, A.H.V., Scharl, M., Schätzl, H.M., Scheper, W., Schiaffino, S., Schneider, C., Schneider, M.E., Schneider-Stock, R., Schoenlein, P.V., Schorderet, D.F., Schüller, C., Schwartz, G.K., Scorrano, L., Sealy, L., Seglen, P.O., Segura-Aguilar, J., Seiliez, I., Seleverstov, O., Sell, C., Seo, J.B., Separovic, D., Setaluri, V., Setoguchi, T., Settembre, C., Shacka, J.J., Shanmugam, M., Shapiro, I.M., Shaulian, E., Shaw, R.J., Shelhamer, J.H., Shen, H.-M., Shen, W.-C., Sheng, Z.-H., Shi, Y., Shibuya, K., Shidoji, Y., Shieh, J.-J., Shih, C.-M., Shimada, Y., Shimizu, S., Shintani, T., Shirihai, O.S., Shore, G.C., Sibirny, A.A., Sidhu, S.B., Sikorska, B., Silva-Zacarin, E.C.M., Simmons, A., Simon, A.K., Simon, H.-U., Simone, C., Simonsen, A., Sinclair, D.A., Singh, R., Sinha, D., Sinicrope, F.A., Sirko, A., Siu, P.M., Sivridis, E., Skop, V., Skulachev, V.P., Slack, R.S., Smaili, S.S., Smith, D.R., Soengas, M.S., Soldati, T., Song, X., Sood, A.K., Soong, T.W., Sotgia, F., Spector, S.A., Spies, C.D., Springer, W., Srinivasula, S.M., Stefanis, L., Steffan, J.S., Stendel, R., Stenmark, H., Stephanou, A., Stern, S.T., Sternberg, C., Stork, B., Strålfors, P., Subauste, C.S., Sui, X., Sulzer, D., Sun, J., Sun, S.-Y., Sun, Z.-J., Sung, J.J.Y., Suzuki, K., Suzuki, T., Swanson, M.S., Swanton, C., Sweeney, S.T., Sy, L.-K., Szabadkai, G., Tabas, I., Taegtmeyer, H., Tafani, M., Takács-Vellai, K., Takano, Y., Takegawa, K., Takemura, G., Takeshita, F., Talbot, N.J., Tan, K.S.W., Tanaka, K., Tanaka, K., Tang, D., Tang, D., Tanida, I., Tannous, B.A., Tavernarakis, N., Taylor, G.S., Taylor, G.A., Taylor, J.P., Terada, A.S., Terman, A., Tettamanti, G., Thevissen, K., Thompson, C.B., Thorburn, A., Thumm, M., Tian, F., Tian, Y., Tocchini-Valentini, G., Tolkovsky, A.M., Tomino, Y., Tönges, L., Tooze, S.A., Tournier, C., Tower, J., Towns, R., Trajkovic, V., Travassos, L.H., Tsai, T.-F., Tschan, M.P., Tsubata, T., Tsung, A., Turk, B., Turner, L.S., Tyagi, S.C., Uchiyama, Y., Ueno, T., Umekawa, M., Umemiya-Shirafuji, R., Unni, V.K., Vaccaro, M.I., Valente, E.M., Van Den Berghe, G., Van Der Klei, I.J., Van Doorn, W.G., Van Dyk, L.F., Van Egmond, M., Van Grunsven, L.A., Vandenabeele, P., Vandenberghe, W.P., Vanhorebeek, I., Vaquero, E.C., Velasco, G., Vellai, T., Vicencio, J.M., Vierstra, R.D., Vila, M., Vindis, C., Viola, G., Viscomi, M.T., Voitsekhovskaja, O.V., Von Haefen, C., Votruba, M., Wada, K., Wade-Martins, R., Walker, C.L., Walsh, C.M., Walter, J., Wan, X.-B., Wang, A., Wang, C., Wang, D., Wang, F., Wang, F., Wang, G., Wang, H., Wang, H.-G., Wang, H.-D., Wang, J., Wang, K., Wang, M., Wang, R.C., Wang, X., Wang, X., Wang, Y.-J., Wang, Y., Wang, Z., Wang, Z.C., Wang, Z., Wansink, D.G., Ward, D.M., Watada, H., Waters, S.L., Webster, P., Wei, L., Weihl, C.C., Weiss, W.A., Welford, S.M., Wen, L.-P., Whitehouse, C.A., Whitton, J.L., Whitworth, A.J., Wileman, T., Wiley, J.W., Wilkinson, S., Willbold, D., Williams, R.L., Williamson, P.R., Wouters, B.G., Wu, C., Wu, D.-C., Wu, W.K.K., Wyttenbach, A., Xavier, R.J., Xi, Z., Xia, P., Xiao, G., Xie, Z., Xie, Z., Xu, D.-Z., Xu, J., Xu, L., Xu, X., Yamamoto, A., Yamamoto, A., Yamashina, S., Yamashita, M., Yan, X., Yanagida, M., Yang, D.-S., Yang, E., Yang, J.-M., Yang, S.Y., Yang, W., Yang, W.Y., Yang, Z., Yao, M.-C., Yao, T.-P., Yeganeh, B., Yen, W.-L., Yin, J.-J., Yin, X.-M., Yoo, O.-J., Yoon, G., Yoon, S.-Y., Yorimitsu, T., Yoshikawa, Y., Yoshimori, T., Yoshimoto, K., You, H.J., Youle, R.J., Younes, A., Yu, L., Yu, L., Yu, S.-W., Yu, W.H., Yuan, Z.-M., Yue, Z., Yun, C.-H., Yuzaki, M., Zabirnyk, O., Silva-Zacarin, E., David Zacks, E., Zacksenhaus, L., Zaffaroni, N., Zakeri, Z., Zeh III, H.J., Zeitlin, S.O., Zhang, H., Zhang, H.-L., Zhang, J., Zhang, J.-P., Zhang, L., Zhang, L., Zhang, M.-Y., Zhang, X.D., Zhao, M., Zhao, Y.-F., Zhao, Y., Zhao, Z.J., Zheng, X., Zhivotovsky, B., Zhong, Q., Zhou, C.-Z., Zhu, C., Zhu, W.-G., Zhu, X.-F., Zhu, X., Zhu, Y., Zoladek, T., Zong, W.-X., Zorzano, A., Zschocke, J., Zuckerbraun, B.","Guidelines for the use and interpretation of assays for monitoring autophagy",2012,"Autophagy","8","4",,"445","544",,1912,10.4161/auto.19496,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862295360&doi=10.4161%2fauto.19496&partnerID=40&md5=4a625309025c5dc3fadd165b1601ea87",Review,Scopus,2-s2.0-84862295360
"Joshi, S.A., Ball, D.A., Sun, M.G., Carlsson, F., Watkins, B.Y., Aggarwal, N., McCracken, J.M., Huynh, K.K., Brown, E.J.","EccA1, a component of the Mycobacterium marinum ESX-1 protein virulence factor secretion pathway, regulates mycolic acid lipid synthesis",2012,"Chemistry and Biology","19","3",,"372","380",,16,10.1016/j.chembiol.2012.01.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858962177&doi=10.1016%2fj.chembiol.2012.01.008&partnerID=40&md5=397642b2b0242d533ea7c1569901b5c0",Article,Scopus,2-s2.0-84858962177
"Lee, Y., Shull, E.R.P., Frappart, P.-O., Katyal, S., Enriquez-Rios, V., Zhao, J., Russell, H.R., Brown, E.J., McKinnon, P.J.","ATR maintains select progenitors during nervous system development",2012,"EMBO Journal","31","5",,"1177","1189",,24,10.1038/emboj.2011.493,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862777854&doi=10.1038%2femboj.2011.493&partnerID=40&md5=8fcb6d4b7a550953860460330fe0939a",Article,Scopus,2-s2.0-84862777854
"Schoppy, D.W., Ragland, R.L., Gilad, O., Shastri, N., Peters, A.A., Murga, M., Fernandez-Capetillo, O., Diehl, J.A., Brown, E.J.","Oncogenic stress sensitizes murine cancers to hypomorphic suppression of ATR",2012,"Journal of Clinical Investigation","122","1",,"241","252",,66,10.1172/JCI58928,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855418471&doi=10.1172%2fJCI58928&partnerID=40&md5=5fdcdb4784d0f856a767f5853877b19b",Article,Scopus,2-s2.0-84855418471
"Brown, E.","The unity of the soul in Plato’s Republic",2012,"Plato and the Divided Self",,,,"53","74",,5,10.1017/CBO9780511977831.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872260633&doi=10.1017%2fCBO9780511977831.005&partnerID=40&md5=799783583888d23eb2526b321f1ac5c4",Book Chapter,Scopus,2-s2.0-84872260633
"Hazenbos, W.L.W., Wu, P., Eastham-Anderson, J., Kinoshita, T., Brown, E.J.","Impaired FcεRI stability, signaling, and effector functions in murine mast cells lacking glycosylphosphatidylinositol-anchored proteins",2011,"Blood","118","16",,"4377","4383",,5,10.1182/blood-2011-02-338053,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054840801&doi=10.1182%2fblood-2011-02-338053&partnerID=40&md5=1d2df79f9cbcea677b9a308b9a4eb8c5",Article,Scopus,2-s2.0-80054840801
"Huynh, K.K., Joshi, S.A., Brown, E.J.","A delicate dance: Host response to mycobacteria",2011,"Current Opinion in Immunology","23","4",,"464","472",,57,10.1016/j.coi.2011.06.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052345448&doi=10.1016%2fj.coi.2011.06.002&partnerID=40&md5=ba71979b466179d612c5e5c98c30f6d9",Review,Scopus,2-s2.0-80052345448
"Wang, C., Morley, S.C., Donermeyer, D., Peng, I., Lee, W.P., Devoss, J., Danilenko, D.M., Lin, Z., Zhang, J., Zhou, J., Allen, P.M., Brown, E.J.","Actin-bundling protein L-plastin regulates T cell activation (Journal of Immunology (2010) 185 (7487-7497))",2011,"Journal of Immunology","187","3",,"1514","",,,10.4049/jimmunol.1190027,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051625546&doi=10.4049%2fjimmunol.1190027&partnerID=40&md5=7f95fc7278c8fe26ccd8851a9766671a",Erratum,Scopus,2-s2.0-80051625546
"Wu, G.F., Corbo, E., Schmidt, M., Smith-Garvin, J.E., Riese, M.J., Jordan, M.S., Laufer, T.M., Brown, E.J., Maltzman, J.S.","Conditional deletion of SLP-76 in mature T cells abrogates peripheral immune responses",2011,"European Journal of Immunology","41","7",,"2064","2073",,10,10.1002/eji.201040809,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959729423&doi=10.1002%2feji.201040809&partnerID=40&md5=42597c8209fe7a7c4670c21b6d1da1a5",Article,Scopus,2-s2.0-79959729423
"Onksen, J.L., Brown, E.J., Blendy, J.A.","Selective deletion of a cell cycle checkpoint kinase (ATR) reduces neurogenesis and alters responses in rodent models of behavioral affect",2011,"Neuropsychopharmacology","36","5",,"960","969",,17,10.1038/npp.2010.234,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952764112&doi=10.1038%2fnpp.2010.234&partnerID=40&md5=7e06fe6a244f34592ccf51fe583c9bba",Article,Scopus,2-s2.0-79952764112
"Chen, W., Morley, S.C., Donermeyer, D., Peng, I., Lee, W.P., Devoss, J., Danilenko, D.M., Zhonghua, L., Juan, Z., Jie, Z., Allen, P.M., Brown, E.J.","Actin-bundling protein L-plastin regulates T cell activation",2010,"Journal of Immunology","185","12",,"7487","7497",,31,10.4049/jimmunol.1001424,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650646289&doi=10.4049%2fjimmunol.1001424&partnerID=40&md5=9cd1e58ca1ca9080edb91541030c49d6",Article,Scopus,2-s2.0-78650646289
"Gilad, O., Nabet, B.Y., Ragland, R.L., Schoppy, D.W., Smith, K.D., Durham, A.C., Brown, E.J.","Combining ATR suppression with oncogenic ras synergistically increases genomic instability, causing synthetic lethality or tumorigenesis in a dosage-dependent manner",2010,"Cancer Research","70","23",,"9693","9702",,89,10.1158/0008-5472.CAN-10-2286,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649929369&doi=10.1158%2f0008-5472.CAN-10-2286&partnerID=40&md5=4fa457d06fdfdf9f083aeb50585d5d70",Article,Scopus,2-s2.0-78649929369
"Liu, H., Takeda, S., Kumar, R., Westergard, T.D., Brown, E.J., Pandita, T.K., Cheng, E.H.-Y., Hsieh, J.J.-D.","Phosphorylation of MLL by ATR is required for execution of mammalian S-phase checkpoint",2010,"Nature","467","7313",,"343","346",,65,10.1038/nature09350,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956944025&doi=10.1038%2fnature09350&partnerID=40&md5=1aec17426ac98f44907ba915a3ea529a",Article,Scopus,2-s2.0-77956944025
